,E,E_100,E_1000,E_10000,V,V_100,V_1000,V_10000,n
0,0.306713671875,30.6713671875,306.713671875,3067.13671875,0.0002657875108337401,0.026578751083374007,0.2657875108337401,2.6578751083374006,512
1,0.30633154296875,30.633154296875,306.33154296875,3063.3154296875,0.00013455975317955008,0.013455975317955008,0.13455975317955007,1.345597531795501,1024
2,0.30633095703125,30.633095703125,306.33095703125,3063.3095703125,6.500491866111752e-05,0.0065004918661117515,0.06500491866111752,0.6500491866111752,2048
3,0.3063661376953125,30.63661376953125,306.3661376953125,3063.661376953125,3.357600268781188e-05,0.003357600268781188,0.03357600268781188,0.3357600268781188,4096
4,0.30642685546875,30.642685546874997,306.42685546875,3064.2685546875,1.6344617285728458e-05,0.0016344617285728457,0.016344617285728457,0.16344617285728458,8192
5,0.30635695190429685,30.635695190429686,306.35695190429686,3063.5695190429683,8.20631602670997e-06,0.0008206316026709969,0.00820631602670997,0.0820631602670997,16384
6,0.3063812133789062,30.638121337890624,306.38121337890624,3063.812133789062,4.147077351659538e-06,0.00041470773516595383,0.004147077351659538,0.04147077351659538,32768
7,0.3063371566772461,30.63371566772461,306.33715667724607,3063.371566772461,2.0393636027327705e-06,0.00020393636027327705,0.0020393636027327706,0.020393636027327706,65536
8,0.30634224090576173,30.634224090576172,306.34224090576174,3063.422409057617,1.0369283347367309e-06,0.00010369283347367309,0.0010369283347367309,0.010369283347367309,131072
9,0.30635485153198244,30.635485153198243,306.35485153198243,3063.548515319824,5.103009050007672e-07,5.103009050007672e-05,0.0005103009050007672,0.005103009050007672,262144
10,0.30635117206573487,30.635117206573486,306.3511720657349,3063.5117206573486,2.6226133015410613e-07,2.6226133015410612e-05,0.0002622613301541061,0.0026226133015410614,524288
11,0.3063475977897644,30.634759778976438,306.3475977897644,3063.475977897644,1.2617842860191514e-07,1.2617842860191514e-05,0.00012617842860191515,0.0012617842860191515,1048576
