fgc,min,rec,rem,work
25,25,1,25,8313728
25,25,1,25,8317404
25,25,1,25,8312331
25,25,1,25,8315191
25,25,1,25,8312221
25,25,1,25,8316561
25,25,1,25,8311448
25,25,1,25,8312092
25,25,1,25,8317075
25,25,1,25,8312593
25,25,1,25,8315244
25,25,1,25,8314808
25,24,1,25,8314040
25,25,1,25,8312083
25,25,1,25,8317948
26,25,1,26,8318631
25,25,1,25,8315239
25,24,1,25,8314499
25,25,1,25,8313327
26,25,1,26,8311519
25,25,1,25,8311403
25,25,1,25,8316578
25,25,1,25,8313980
25,25,1,25,8310904
25,25,1,25,8315852
25,25,1,25,8315895
25,25,1,25,8314169
25,25,1,25,8314229
25,24,1,25,8312624
26,25,1,26,8311788
26,25,1,26,8313845
26,25,1,26,8316595
25,25,1,25,8313443
25,24,1,25,8314297
25,25,1,25,8314931
25,25,1,25,8314240
25,25,1,25,8312409
25,25,1,25,8314005
25,25,1,25,8315845
25,18,1,25,8314735
25,25,1,25,8315267
25,25,1,25,8311401
26,25,1,26,8314316
25,25,1,25,8314779
25,25,1,25,8314260
25,25,1,25,8317370
25,25,1,25,8313733
25,25,1,25,8314671
25,25,1,25,8313004
25,25,1,25,8313314
