med,MinC
0.5041121809054427,True
0.5057448464226315,True
0.5097731052687795,True
0.5093611242504235,True
0.4930497276347712,True
0.5169904023681279,True
0.527961304301387,True
0.494422997695958,True
0.5000228878343531,True
0.4921647313731175,True
0.49860384210446007,True
0.5168225582495384,True
0.4927598150662984,True
0.483604681325053,True
0.484947434273769,True
0.4745716160336909,True
0.4993515113599951,True
0.4845659703678838,True
0.48755664739002397,True
0.49024215328745596,True
0.4696583609258892,True
0.504569937592505,True
0.49422463646489767,True
0.4961166974380884,True
0.49669652257503394,True
0.49369058699665835,True
0.5013198651143629,True
0.5052870897355692,True
0.4879228527396738,True
0.4837725254436425,True
0.5074080290522911,True
0.5174023833864839,True
0.4845964874803546,True
0.5000686635030593,True
0.4898454308253353,True
0.4815295176770374,True
0.5002212490654134,True
0.5055617437478066,True
0.49822237819857484,True
0.49282084929124004,True
0.48871629766391506,True
0.5010757282145963,True
0.48098020965256266,True
0.4922105070418237,True
0.48009521339090894,True
0.4904405145185163,True
0.47945435402902176,True
0.48110227810244593,True
0.482933304850695,True
0.5103834475181959,True
0.5014266750080107,True
0.4979477241863375,True
0.5037612341120283,True
0.5052565726230984,True
0.4913560278926408,True
0.5062178616659292,True
0.506324671559577,True
0.4966354883500923,True
0.49019637761874973,True
0.49536902818255335,True
0.48734302760272824,True
0.48551200085447915,True
0.49907685734775775,True
0.48009521339090894,True
0.47377817110944964,True
0.477821688511833,True
0.4889909516761524,True
0.4894334498069793,True
0.5103987060744313,True
0.4901811190625143,True
0.5021285685948396,True
0.47806582541159953,True
0.47957642247890503,True
0.4979629827425729,True
0.5043105421365031,True
0.48906724445732946,True
0.4793475441353739,True
0.5025252910569602,True
0.4864275142286037,True
0.48551200085447915,True
0.480842882646444,True
0.5026626180630789,True
0.4964981613439736,True
0.4986496177731663,True
0.4989547888978745,True
0.4827654607321055,True
0.5121381814852679,True
0.5015640020141294,True
0.500801074202359,True
0.502143827151075,True
0.5114057707859683,True
0.49887849611669743,True
0.48183468880174557,True
0.5042495079115614,True
0.5001907319529426,True
0.47112318232448847,True
0.4826891679509285,True
0.5037154584433221,True
0.49567419930726153,True
0.47692143369394385,True
